Ticker,Date,Open,High,Low,Close,Adjusted_close,Adjusted_low,Adjusted_high,Adjusted_open,Volume
NVDA.US  ,6/9/2015 12:00:00 AM,21.77,22.02,21.73,21.86,0.529,0.5258540713632206,0.5328719121683441,0.5268220494053065,256888877
NVDA.US  ,6/10/2015 12:00:00 AM,21.6,21.74,21.35,21.47,0.5196,0.5166958546809501,0.526134326967862,0.5227461574289707,529461195
NVDA.US  ,6/11/2015 12:00:00 AM,21.47,21.85,21.47,21.7,0.5252,0.5196333640552995,0.5288304147465438,0.5196333640552995,283051837
NVDA.US  ,6/12/2015 12:00:00 AM,21.56,21.69,21.06,21.11,0.5109,0.509689909995263,0.5249370440549503,0.5217908100426338,323726557
NVDA.US  ,6/15/2015 12:00:00 AM,21,21.165,20.84,21.07,0.5099,0.5043339345040342,0.5121990270526815,0.5082059800664452,306546917
NVDA.US  ,6/16/2015 12:00:00 AM,21.03,21.36,20.82,21.33,0.5162,0.5038576652601969,0.5169260196905766,0.5089398030942335,256890117
NVDA.US  ,6/17/2015 12:00:00 AM,21.32,21.7,21.27,21.58,0.5223,0.5147970806302132,0.5252043558850789,0.5160072289156628,233545918
NVDA.US  ,6/18/2015 12:00:00 AM,21.76,22.08,21.7,21.94,0.531,0.5251914311759344,0.5343883318140382,0.5266435733819509,299403557
NVDA.US  ,6/19/2015 12:00:00 AM,21.94,22.12,21.67,21.87,0.5293,0.5244595793324188,0.5353505258344765,0.5309941472336535,355657076
NVDA.US  ,6/22/2015 12:00:00 AM,21.91,22.03,21.45,21.775,0.527,0.5191343283582089,0.5331715269804823,0.5302672789896671,514237195
NVDA.US  ,6/23/2015 12:00:00 AM,21.82,21.99,21.05,21.22,0.5136,0.5094853911404336,0.5322367577756832,0.5281221489161169,414065196
NVDA.US  ,6/24/2015 12:00:00 AM,21.19,21.3,20.91,21.01,0.5085,0.5060797239409803,0.5155188005711565,0.512856496906235,253368157
NVDA.US  ,6/25/2015 12:00:00 AM,21.01,21.3,21.01,21.17,0.5123,0.5084281058101086,0.5154459140292866,0.5084281058101086,350461917
NVDA.US  ,6/26/2015 12:00:00 AM,21,21.17,20.65,20.74,0.5019,0.49972203471552556,0.5123058341369335,0.508191899710704,421294796
NVDA.US  ,6/29/2015 12:00:00 AM,20.5,20.71,20.09,20.12,0.4869,0.4861740059642147,0.5011778827037773,0.49609592445328027,391723836
NVDA.US  ,6/30/2015 12:00:00 AM,20.24,20.33,19.97,20.11,0.4867,0.4833117354549975,0.4920244157135753,0.48984624564893087,315914277
NVDA.US  ,7/1/2015 12:00:00 AM,20.61,20.9,20.22,20.4,0.4937,0.4893438235294118,0.5058004901960784,0.498782205882353,302920037
NVDA.US  ,7/2/2015 12:00:00 AM,20.39,20.55,20.29,20.42,0.4942,0.4910537708129284,0.49734622918707144,0.49347394711067577,145764599
NVDA.US  ,7/6/2015 12:00:00 AM,20.25,20.53,20.015,20.17,0.4881,0.48434910758552296,0.4968117501239464,0.490035944471988,214776518
NVDA.US  ,7/7/2015 12:00:00 AM,20.05,20.13,19.16,19.79,0.4789,0.4636545730166751,0.48712769075290546,0.4851917635169278,594253194
NVDA.US  ,7/8/2015 12:00:00 AM,19.68,19.8,19.49,19.65,0.4756,0.47172743002544526,0.4792305343511451,0.476326106870229,332491477
NVDA.US  ,7/9/2015 12:00:00 AM,19.96,20.05,19.29,19.41,0.4698,0.4668955177743431,0.48529057187017005,0.48311221020092737,357589796
NVDA.US  ,7/10/2015 12:00:00 AM,19.66,19.93,19.61,19.75,0.478,0.4746116455696202,0.4823564556962025,0.4758217721518987,216708678
NVDA.US  ,7/13/2015 12:00:00 AM,19.95,19.99,19.745,19.88,0.4811,0.4778329728370222,0.4837620221327968,0.48279401408450706,212471638
NVDA.US  ,7/14/2015 12:00:00 AM,19.91,19.93,19.63,19.89,0.4814,0.47510718954248365,0.4823681246857717,0.4818840623428859,249217158
NVDA.US  ,7/15/2015 12:00:00 AM,19.84,19.97,19.57,19.75,0.478,0.4736435443037974,0.48332455696202525,0.4801782278481012,265733917
NVDA.US  ,7/16/2015 12:00:00 AM,19.87,20.19,19.8,20.19,0.4886,0.47916196136701333,0.4886,0.48085596830113914,282891677
NVDA.US  ,7/17/2015 12:00:00 AM,20.12,20.14,19.81,20.07,0.4857,0.4794079222720478,0.4873940209267564,0.48691001494768316,220372318
NVDA.US  ,7/20/2015 12:00:00 AM,20.07,20.15,19.65,19.7,0.4768,0.47558984771573604,0.48769137055837564,0.4857551269035534,188410358
NVDA.US  ,7/21/2015 12:00:00 AM,19.66,20.07,19.66,19.79,0.4789,0.47575411824153613,0.48567574532592217,0.47575411824153613,149720399
NVDA.US  ,7/22/2015 12:00:00 AM,19.65,19.65,19.17,19.405,0.4696,0.4639130121102809,0.47552898737438803,0.47552898737438803,356472756
NVDA.US  ,7/23/2015 12:00:00 AM,19.45,19.94,19.41,19.65,0.4756,0.469791145038168,0.4826190330788805,0.4707592875318066,169914878
NVDA.US  ,7/24/2015 12:00:00 AM,19.79,19.81,19.34,19.42,0.47,0.468063851699279,0.4794387229660143,0.4789546858908341,188843958
NVDA.US  ,7/27/2015 12:00:00 AM,19.25,19.53,19.09,19.31,0.4673,0.4619760227861212,0.47262397721387883,0.4658480062143967,192420798
NVDA.US  ,7/28/2015 12:00:00 AM,19.36,19.86,19.16,19.73,0.4775,0.463705017739483,0.48064622402432844,0.468545362392296,198309318
NVDA.US  ,7/29/2015 12:00:00 AM,19.69,20.13,19.61,19.97,0.4833,0.4745875312969455,0.4871722083124687,0.47652363545317983,232681318
NVDA.US  ,7/30/2015 12:00:00 AM,19.92,20.22,19.92,20.02,0.4845,0.4820799200799201,0.4893401598401598,0.4820799200799201,190179158
NVDA.US  ,7/31/2015 12:00:00 AM,20.1,20.11,19.83,19.95,0.4828,0.47989593984962403,0.4866720802005013,0.48643007518797,218368438
NVDA.US  ,8/3/2015 12:00:00 AM,20.11,20.31,19.85,20.29,0.491,0.48035239034006905,0.4914839822572696,0.48664415968457364,397131116
NVDA.US  ,8/4/2015 12:00:00 AM,20.22,20.43,20.14,20.37,0.493,0.4874334806087383,0.4944521354933725,0.4893696612665684,260100557
NVDA.US  ,8/5/2015 12:00:00 AM,20.87,20.89,20.535,20.58,0.4981,0.4970108600583091,0.50560296404276,0.5051189018464529,234626078
NVDA.US  ,8/6/2015 12:00:00 AM,20.53,20.68,20.11,20.45,0.4949,0.4866718337408313,0.5004661124694376,0.49683603911980445,655675633
NVDA.US  ,8/7/2015 12:00:00 AM,22.46,23.37,21.88,22.98,0.5562,0.5295759791122715,0.5656394255874674,0.5436140992167102,1405246706
NVDA.US  ,8/10/2015 12:00:00 AM,22.82,23.95,22.68,23.78,0.5755,0.548878889823381,0.5796141715727502,0.5522670311185871,662305633
NVDA.US  ,8/11/2015 12:00:00 AM,23.43,23.89,23.43,23.66,0.5726,0.5670337278106509,0.5781662721893491,0.5670337278106509,435008396
NVDA.US  ,8/12/2015 12:00:00 AM,23.28,23.89,23.28,23.72,0.5741,0.5634505902192244,0.5782145446880271,0.5634505902192244,384080476
NVDA.US  ,8/13/2015 12:00:00 AM,23.75,23.8,23.46,23.52,0.5692,0.5677479591836735,0.5759761904761905,0.5747661564625851,276885837
NVDA.US  ,8/14/2015 12:00:00 AM,23.5,23.68,23.36,23.54,0.5697,0.5653437553101104,0.5730881903143585,0.5687319456244689,214650438
NVDA.US  ,8/17/2015 12:00:00 AM,23.5,23.5,23.1,23.39,0.5661,0.5590812312954254,0.5687622915775973,0.5687622915775973,273878917
NVDA.US  ,8/18/2015 12:00:00 AM,23.22,23.38,22.9,23.08,0.5609,0.5565255632582322,0.5681907279029462,0.5643023396880416,287082237
NVDA.US  ,8/19/2015 12:00:00 AM,23.05,23.305,22.74,22.99,0.5587,0.5526245324053936,0.566355089169204,0.5601581122227055,249273678
NVDA.US  ,8/20/2015 12:00:00 AM,22.73,22.84,22.05,22.16,0.5386,0.5359264440433212,0.5551274368231046,0.5524538808664259,426933196
NVDA.US  ,8/21/2015 12:00:00 AM,22,22.37,21.45,21.47,0.5218,0.5213139264089427,0.543673311597578,0.5346809501630182,382665556
NVDA.US  ,8/24/2015 12:00:00 AM,20.27,21.83,20,20.71,0.5033,0.4860453887011106,0.5305185417672621,0.49260700144857555,682282793
NVDA.US  ,8/25/2015 12:00:00 AM,21.62,21.7,20.28,20.28,0.4929,0.4929,0.5274127218934911,0.5254683431952663,622684434
NVDA.US  ,8/26/2015 12:00:00 AM,20.94,21.83,20.78,21.81,0.53,0.5049701971572674,0.5304860155891793,0.5088583218707016,614977594
NVDA.US  ,8/27/2015 12:00:00 AM,22.04,22.64,21.91,22.63,0.55,0.532501104728237,0.5502430402121079,0.5356606274856386,463763195
NVDA.US  ,8/28/2015 12:00:00 AM,22.63,22.87,22.465,22.73,0.5524,0.545959788825341,0.5558023757149143,0.5499697316322041,320945277
NVDA.US  ,8/31/2015 12:00:00 AM,22.62,22.78,22.385,22.48,0.5463,0.5439913478647687,0.5535904804270463,0.5497022241992883,219352398
NVDA.US  ,9/1/2015 12:00:00 AM,21.83,22.2,21.4,21.56,0.524,0.5201113172541745,0.5395547309833024,0.5305621521335807,353408796
NVDA.US  ,9/2/2015 12:00:00 AM,22.15,22.22,21.78,22.21,0.5398,0.5293491220171094,0.5400430436740207,0.5383417379558757,344042597
NVDA.US  ,9/3/2015 12:00:00 AM,22.54,22.65,22.23,22.27,0.5412,0.5402279299506062,0.5504346654692411,0.5477614728334081,262557517
NVDA.US  ,9/4/2015 12:00:00 AM,21.89,22.24,21.74,21.75,0.5286,0.5283569655172413,0.5405086896551723,0.5320024827586207,288009797
NVDA.US  ,9/8/2015 12:00:00 AM,22.28,22.77,22.192,22.68,0.5512,0.5393399647266314,0.5533873015873015,0.5414786596119929,238448718
NVDA.US  ,9/9/2015 12:00:00 AM,22.75,22.94,22.18,22.23,0.5403,0.5390847503373819,0.5575565452091769,0.5529385964912281,289393957
NVDA.US  ,9/10/2015 12:00:00 AM,22.1,22.86,21.995,22.58,0.5488,0.5345817537643933,0.5556053144375553,0.5371337466784766,357075836
NVDA.US  ,9/11/2015 12:00:00 AM,22.33,22.8,22.235,22.65,0.5505,0.5404135761589404,0.5541456953642384,0.5427225165562913,301584317
NVDA.US  ,9/14/2015 12:00:00 AM,22.76,22.83,22.57,22.69,0.5514,0.5484838254737769,0.5548022036139267,0.5531011018069634,192465438
NVDA.US  ,9/15/2015 12:00:00 AM,22.7,23.06,22.63,22.94,0.5575,0.5499662162162161,0.5604163034001742,0.5516673931996512,327976477
NVDA.US  ,9/16/2015 12:00:00 AM,22.9,23.23,22.725,23.1,0.5614,0.5522863636363636,0.5645593939393939,0.5565393939393939,173507358
NVDA.US  ,9/17/2015 12:00:00 AM,23.5,23.71,23.26,23.31,0.5665,0.5652848562848564,0.5762211497211498,0.5711175461175462,268710757
NVDA.US  ,9/18/2015 12:00:00 AM,22.99,23.49,22.85,23.29,0.566,0.5553069987118936,0.5708604551309574,0.5587093173035638,326410197
NVDA.US  ,9/21/2015 12:00:00 AM,23.32,23.58,23.2,23.53,0.5718,0.5637807054823629,0.5730150446238843,0.5666968125796855,281864637
NVDA.US  ,9/22/2015 12:00:00 AM,23.02,23.18,22.765,22.89,0.5563,0.5532621013543032,0.5633479248580167,0.5594594145915247,228356918
NVDA.US  ,9/23/2015 12:00:00 AM,22.91,23.14,22.82,23,0.559,0.5546252173913044,0.5624026086956523,0.5568126086956523,161633958
NVDA.US  ,9/24/2015 12:00:00 AM,22.86,23.68,22.5,23.44,0.5697,0.5468536689419794,0.5755331058020478,0.5556033276450512,382441236
NVDA.US  ,9/25/2015 12:00:00 AM,23.73,24.07,23.38,23.61,0.5738,0.5682102498941126,0.5849795002117747,0.5767163913595934,369690716
NVDA.US  ,9/28/2015 12:00:00 AM,23.61,23.755,23.15,23.3,0.5663,0.5626542918454935,0.5773586480686694,0.5738344635193132,395583036
NVDA.US  ,9/29/2015 12:00:00 AM,23.55,23.75,23.22,23.71,0.5762,0.5642920286798819,0.5771720792914382,0.5723116828342472,380734916
NVDA.US  ,9/30/2015 12:00:00 AM,23.93,24.68,23.79,24.65,0.5991,0.5781983367139959,0.5998291277890466,0.5816009330628803,556381554
NVDA.US  ,10/1/2015 12:00:00 AM,24.65,24.72,23.47,24.17,0.5874,0.5703880016549441,0.6007665701282581,0.5990653702937525,489297195
